"Calu3_mock3" "Calu3_mock2" "Calu3_mock1" "Calu3_SARSCoV2_3" "Calu3_SARSCoV2_2" "Calu3_SARSCoV2_1" "SRR1942929" "SRR1942934" "SRR1942956" "SRR1942957" "SRR1942960" "SRR1942961" "SRR1942989" "SRR1942990"
"ENSG00000000003.15" 952 1461 3582 1046 596 1026 3910 5053 856 779 3849 2930 523 546
"ENSG00000000005.6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000000419.12" 761 1277 2768 1601 774 1443 3475 4689 959 836 3334 2538 523 544
"ENSG00000000457.14" 133 176 460 345 213 369 757 952 859 793 705 558 371 377
"ENSG00000000460.17" 396 615 1420 688 345 602 1441 1835 622 629 1388 1035 731 721
"ENSG00000000938.13" 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000000971.16" 158 212 527 497 315 460 273 380 203 183 310 197 53 37
"ENSG00000001036.14" 505 1007 2288 670 454 742 1825 2337 459 483 1684 1267 724 744
"ENSG00000001084.13" 299 442 1306 567 318 478 2320 2938 1206 1243 2077 1627 817 850
"ENSG00000001167.14" 242 344 963 578 341 520 1119 1424 506 499 1202 803 420 468
"ENSG00000001460.18" 98 217 470 404 187 371 421 510 224 196 369 307 306 300
"ENSG00000001461.17" 331 501 1525 638 325 585 1415 1782 294 287 1368 1070 359 379
"ENSG00000001497.16" 556 1199 2157 918 442 924 2889 3294 754 727 2555 1984 926 1001
"ENSG00000001561.7" 384 314 1205 725 420 640 2176 2873 711 695 2125 1587 319 354
"ENSG00000001617.12" 8 17 47 17 18 20 74 68 22 22 71 55 6 14
"ENSG00000001626.16" 5777 7638 22228 12448 7373 12436 24007 30731 4480 4324 22958 17400 2890 3204
"ENSG00000001629.10" 296 332 1089 1013 585 900 3338 4266 1672 1558 3237 2486 1306 1343
"ENSG00000001630.17" 1122 1465 3914 965 569 941 6452 8220 3450 3205 6127 4798 1606 1744
"ENSG00000001631.15" 86 127 314 244 155 234 1010 1281 430 387 920 716 482 483
"ENSG00000002016.18" 47 76 189 161 104 154 295 365 379 339 262 241 175 178
"ENSG00000002079.14" 33 76 131 178 76 176 119 108 55 37 85 71 96 108
"ENSG00000002330.13" 300 867 1631 296 184 414 674 562 159 142 547 386 103 145
"ENSG00000002549.12" 573 995 2343 3837 1899 3726 2000 2709 1780 1658 1929 1433 536 540
"ENSG00000002586.20" 741 1540 2933 1566 846 1679 998 1157 269 262 869 706 117 121
"ENSG00000002587.10" 828 1552 3663 2679 1375 2964 2868 3040 1298 1203 2548 2019 629 701
"ENSG00000002726.20" 37 71 143 42 29 56 18 12 3 3 15 15 1 6
"ENSG00000002745.13" 0 0 8 0 0 0 20 29 15 13 22 12 51 59
"ENSG00000002746.15" 7 6 10 11 4 15 8 3 0 3 3 6 2 2
"ENSG00000002822.15" 329 871 1645 599 262 603 896 826 255 257 691 578 240 273
"ENSG00000002834.18" 8197 14382 36148 14141 7502 15635 27441 31680 8653 8367 25447 19942 3534 4023
"ENSG00000002919.14" 217 464 1137 519 271 525 1207 1453 490 484 1031 801 564 613
"ENSG00000002933.9" 7 15 50 20 14 19 3 2 0 7 1 3 1 0
"ENSG00000003056.8" 2058 3317 8099 3197 1665 2937 9742 12436 2792 2674 9425 7184 2422 2591
"ENSG00000003096.14" 6 12 35 1 6 7 5 11 2 1 7 4 1 3
"ENSG00000003137.8" 9 11 25 11 12 16 31 35 30 23 34 29 9 20
"ENSG00000003147.19" 462 851 1689 1220 711 1146 1747 2161 518 500 1614 1281 633 690
"ENSG00000003249.14" 459 1005 2283 816 405 919 1541 1563 553 587 1363 1082 246 292
"ENSG00000003393.15" 258 450 1179 799 401 695 1315 1696 1207 1162 1259 1005 1095 1068
"ENSG00000003400.15" 221 359 915 791 493 907 775 979 559 566 754 581 143 165
"ENSG00000003402.20" 1807 3172 7810 11638 6057 11223 6099 7487 2581 2686 5569 4338 2870 2983
"ENSG00000003436.16" 680 804 2072 1787 1073 1632 5219 6958 1863 1856 4922 3875 1215 1291
"ENSG00000003509.16" 113 191 380 235 146 221 593 780 221 217 664 463 174 181
"ENSG00000003756.17" 273 525 1213 879 467 892 2364 3057 2520 2685 2197 1691 1917 2065
"ENSG00000003987.14" 0 0 0 0 1 2 77 113 29 45 78 48 36 29
"ENSG00000003989.17" 116 168 566 442 191 381 1591 2233 463 511 1517 1171 229 266
"ENSG00000004059.11" 1138 2508 4451 1587 801 1706 3446 3589 1004 954 3232 2393 617 687
"ENSG00000004139.14" 52 70 177 107 43 133 147 183 55 52 83 100 25 26
"ENSG00000004142.12" 798 1679 3981 1462 733 1527 3780 4276 1043 1069 3305 2600 1348 1445
"ENSG00000004399.12" 174 453 861 520 223 619 1103 1017 319 305 904 732 99 134
"ENSG00000004455.17" 1940 3484 7842 2174 1155 2144 9863 12228 2099 2030 8952 7032 2502 2563
"ENSG00000004468.13" 30 27 126 105 50 102 12 5 19 13 4 6 1 2
"ENSG00000004478.8" 1695 3275 6930 2585 1354 2736 8265 9691 2731 2462 7482 5820 3186 3350
"ENSG00000004487.16" 895 1508 3405 1463 835 1488 3664 4788 1181 1185 3365 2640 1369 1456
"ENSG00000004534.15" 278 531 1070 686 391 658 2057 2714 1342 1282 1972 1498 697 790
"ENSG00000004660.15" 37 64 150 50 24 70 151 176 63 80 142 107 56 62
"ENSG00000004700.16" 524 607 1607 1030 514 827 2706 3516 727 674 2617 2068 598 657
"ENSG00000004766.17" 207 263 703 456 207 364 1421 1793 632 629 1330 984 584 575
"ENSG00000004776.13" 4 3 4 4 2 2 4 4 0 0 6 5 0 2
"ENSG00000004777.18" 49 89 181 63 35 67 391 345 88 103 389 284 51 56
"ENSG00000004779.10" 1150 2340 4472 1219 750 1352 3186 4002 639 596 2985 2244 471 498
"ENSG00000004799.8" 64 75 195 121 100 163 572 747 257 276 562 422 142 159
"ENSG00000004809.14" 0 0 0 1 0 0 0 2 1 0 1 0 1 1
"ENSG00000004838.14" 3 7 16 1 0 8 16 11 0 2 12 14 0 4
"ENSG00000004846.16" 0 0 4 5 5 3 24 21 11 16 14 9 12 16
"ENSG00000004848.8" 2 0 0 3 4 1 0 1 1 2 0 0 0 3
"ENSG00000004864.13" 207 321 834 387 217 414 1588 1983 767 727 1540 1077 505 513
"ENSG00000004866.20" 132 201 516 228 124 207 647 911 344 318 632 502 384 408
"ENSG00000004897.12" 751 865 2571 1340 841 1319 5502 7136 3201 3013 5089 3964 2325 2399
"ENSG00000004939.15" 1 1 6 0 2 1 20 45 13 19 17 18 15 9
"ENSG00000004948.15" 0 0 2 0 0 0 0 0 0 1 0 0 0 0
"ENSG00000004961.15" 428 626 1581 924 417 822 1783 2340 691 654 1745 1355 1137 1186
"ENSG00000004975.12" 221 454 1053 343 191 349 996 949 405 401 856 717 301 337
"ENSG00000005001.10" 484 1258 2365 2301 1087 2348 2335 2052 1330 1210 1977 1599 729 803
"ENSG00000005007.12" 566 1132 2939 1275 607 1457 2759 2713 1200 1248 2547 1837 994 1080
"ENSG00000005020.13" 859 1062 3014 2161 1296 1958 3518 4704 1064 1043 3466 2607 597 598
"ENSG00000005022.6" 3712 7432 15242 6018 2965 5875 16931 21323 4590 4128 15652 12310 3893 4255
"ENSG00000005059.16" 198 350 703 317 187 356 544 647 130 143 470 387 104 110
"ENSG00000005073.6" 4 8 8 2 3 6 12 14 5 6 10 8 5 7
"ENSG00000005075.15" 365 819 1396 483 275 507 1328 1444 323 308 1190 908 298 299
"ENSG00000005100.13" 122 198 601 340 142 307 1274 1561 547 552 1101 896 592 611
"ENSG00000005102.14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000005108.16" 52 55 217 109 69 109 310 337 1000 981 268 199 727 858
"ENSG00000005156.12" 158 269 698 326 191 339 1291 1558 460 437 1128 906 363 426
"ENSG00000005175.10" 325 366 883 609 313 501 1275 1789 503 456 1317 1016 486 550
"ENSG00000005187.12" 203 243 695 348 180 330 1393 1834 158 137 1369 1038 110 90
"ENSG00000005189.19" 62 110 216 132 70 154 378 475 129 116 339 274 171 142
"ENSG00000005194.15" 360 849 1701 889 424 852 2073 2577 952 846 1892 1472 1407 1322
"ENSG00000005206.17" 154 410 897 251 147 299 858 793 308 302 832 602 181 221
"ENSG00000005238.19" 260 485 1081 732 352 766 970 982 638 610 912 689 716 751
"ENSG00000005243.10" 13 36 36 14 10 24 3 10 9 2 6 4 9 8
"ENSG00000005249.13" 55 39 166 40 25 37 29 38 9 4 16 23 6 9
"ENSG00000005302.19" 183 324 805 340 189 328 1287 1633 506 442 1164 930 289 329
"ENSG00000005339.15" 425 610 2106 1604 803 1775 3577 4118 3210 3388 3281 2617 3023 3291
"ENSG00000005379.17" 0 0 0 0 0 0 4 3 3 5 4 2 5 1
"ENSG00000005381.8" 0 0 0 0 1 1 0 0 0 0 0 0 0 1
"ENSG00000005421.9" 0 2 4 5 1 0 3 2 0 4 1 3 3 2
"ENSG00000005436.14" 114 150 422 190 113 182 802 1026 368 376 745 580 504 504
"ENSG00000005448.17" 193 456 854 155 104 192 932 1082 127 110 856 663 130 138
"ENSG00000005469.11" 63 60 134 68 36 43 370 490 87 117 365 248 58 79
"ENSG00000005471.17" 3 0 1 1 0 2 6 6 5 11 5 5 12 10
"ENSG00000005483.21" 147 173 579 580 308 597 1645 2181 3134 3193 1570 1349 1573 1715
"ENSG00000005486.17" 283 569 1254 328 180 442 749 669 501 472 615 449 331 401
"ENSG00000005513.10" 9 13 31 9 13 13 31 17 7 11 18 13 4 11
"ENSG00000005700.15" 771 855 2411 2434 1389 2130 4912 6470 3452 3447 4542 3529 3565 3784
"ENSG00000005801.18" 187 288 735 620 320 565 1603 2085 868 930 1512 1147 769 769
"ENSG00000005810.18" 89 127 350 304 179 297 1236 1654 1189 1132 1201 938 884 941
"ENSG00000005812.11" 69 69 254 163 93 146 459 549 263 232 392 354 206 207
"ENSG00000005844.18" 2 1 3 0 2 3 16 21 13 10 25 13 8 9
"ENSG00000005882.12" 238 480 1083 318 136 394 1190 1152 141 179 975 772 129 158
"ENSG00000005884.18" 6720 13363 32355 15332 7306 16855 51568 53563 20375 20307 47341 37407 10195 11399
"ENSG00000005889.15" 123 186 526 485 310 548 1382 1790 1338 1338 1252 935 943 982
"ENSG00000005893.16" 1946 2415 7131 3899 2177 3599 10017 12777 2749 2817 9502 7543 2498 2627
"ENSG00000005961.19" 7 9 25 13 11 17 29 33 8 15 25 34 18 26
"ENSG00000005981.13" 1 1 5 1 0 3 16 13 8 9 10 5 0 3
"ENSG00000006007.12" 1467 2610 5974 2304 1357 2410 4763 5789 1442 1401 4281 3490 1097 1208
"ENSG00000006015.17" 262 675 997 201 127 335 438 385 123 112 368 305 58 57
"ENSG00000006016.11" 2 4 9 1 4 3 51 61 15 21 47 34 9 13
"ENSG00000006025.12" 206 414 762 219 118 235 929 943 621 626 977 746 194 271
"ENSG00000006042.12" 21 36 70 30 14 21 113 156 51 37 126 95 25 23
