mock1_13	mock2_14	wt1_15	wt2_16	CoV_A549_mock3	CoV_A549_mock2	CoV_A549_mock1	CoV_A549_SARSCoV2_3	CoV_A549_SARSCoV2_2	CoV_A549_SARSCoV2_1
ERV316A3_10p15.1a	0	0	0	0	0	0	0	0	0	0
ERV316A3_10q22.3d	1	0	0	0	3	0	0	0	4	0
ERV316A3_10q23.2a	0	0	0	2	0	0	0	3	0	0
ERV316A3_10q23.2b	0	0	0	0	0	1	0	0	0	9
ERV316A3_11p15.3	0	0	0	1	0	0	0	0	0	0
ERV316A3_11q23.1d	0	0	0	0	0	0	0	0	0	0
ERV316A3_11q23.3f	0	0	0	0	0	0	0	2	0	0
ERV316A3_12p11.22a	1	0	1	0	3	0	2	1	1	3
ERV316A3_12p12.3c	2	2	2	1	11	7	13	2	6	3
ERV316A3_12p13.33	0	1	0	0	3	1	1	0	0	1
ERV316A3_12q21.32c	0	0	0	0	0	0	0	0	0	0
ERV316A3_12q24.13	1	4	4	0	2	2	3	1	3	11
ERV316A3_13q14.13	0	2	0	0	1	1	0	0	0	5
ERV316A3_13q32.1a	0	1	1	0	2	0	1	0	1	0
ERV316A3_14q11.2g	0	0	0	0	0	0	0	0	0	0
ERV316A3_14q13.1b	0	0	0	0	0	0	0	0	0	0
ERV316A3_14q22.3b	0	0	0	0	0	0	0	0	0	0
ERV316A3_14q24.2e	1	1	0	0	1	1	2	3	3	2
ERV316A3_14q24.2f	0	0	0	0	0	0	0	0	0	0
ERV316A3_15q21.2a	1	3	1	1	5	8	5	8	15	14
ERV316A3_15q21.3c	0	0	0	0	0	0	0	0	0	0
ERV316A3_15q24.1b	1	0	0	0	1	6	3	2	5	7
ERV316A3_16q12.1b	0	0	0	0	0	0	0	0	0	0
ERV316A3_17q24.3a	0	0	0	0	0	0	0	1	0	0
ERV316A3_18q21.1a	0	0	0	0	0	0	0	0	0	0
ERV316A3_18q21.1b	0	0	0	0	1	0	1	0	1	2
ERV316A3_18q22.3e	5	7	7	0	16	18	16	9	11	8
ERV316A3_19q13.31	0	0	0	0	0	0	0	0	0	1
ERV316A3_1p22.3c	0	0	0	0	0	0	0	0	0	0
ERV316A3_1p32.1a	0	0	0	0	1	0	0	0	0	0
ERV316A3_1p32.2f	0	0	1	0	0	0	0	0	0	0
ERV316A3_1p32.3b	6	15	12	5	22	28	30	41	45	74
ERV316A3_1q21.3b	1	0	2	0	0	0	1	1	0	0
ERV316A3_1q24.2b	0	0	0	0	0	0	0	0	0	0
ERV316A3_1q24.3a	0	0	0	0	0	0	0	0	0	0
ERV316A3_1q25.3b	0	1	1	0	3	4	6	0	6	3
ERV316A3_1q32.3c	0	0	0	0	0	0	0	0	0	0
ERV316A3_1q42.12b	0	1	0	0	1	4	2	11	4	6
ERV316A3_20p11.21	1	4	7	2	6	6	10	7	16	20
ERV316A3_20p12.1a	0	0	0	0	0	0	0	0	0	0
ERV316A3_20q13.33b	0	2	0	0	14	15	9	3	8	9
ERV316A3_21q22.11b	5	11	7	1	22	17	17	14	29	45
ERV316A3_21q22.3a	0	0	0	0	0	0	0	0	0	0
ERV316A3_21q22.3e	11	13	17	3	37	35	37	4	19	23
