"Calu3_mock3" "Calu3_mock2" "Calu3_mock1" "Calu3_SARSCoV2_3" "Calu3_SARSCoV2_2" "Calu3_SARSCoV2_1" "SRR1942929" "SRR1942934" "SRR1942956" "SRR1942957" "SRR1942960" "SRR1942961" "SRR1942989" "SRR1942990"
"ERV316A3_10p11.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p11.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p11.21a" 0 0 0 0 0 0 0 1 1 0 0 0 0 0
"ERV316A3_10p11.21b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p11.21c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p11.21d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p11.21e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p11.21f" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p11.22a" 0 0 2 0 0 0 0 0 1 0 0 0 0 0
"ERV316A3_10p11.22b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p11.22c" 0 0 1 0 0 2 3 3 1 0 1 1 4 4
"ERV316A3_10p11.22d" 0 0 1 0 0 0 0 0 0 0 1 0 0 0
"ERV316A3_10p11.22e" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p11.23" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p12.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p12.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p12.1c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p12.2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p12.31" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p12.33" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p13a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p13b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p14a" 0 0 0 2 3 0 3 0 0 0 1 0 1 1
"ERV316A3_10p14b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p14c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p14d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p15.1a" 0 0 0 0 0 0 0 1 1 1 0 1 0 0
"ERV316A3_10p15.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p15.1c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p15.1d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p15.2" 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"ERV316A3_10p15.3a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p15.3b" 2 1 0 2 0 1 2 8 1 0 3 2 4 7
"ERV316A3_10p15.3c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10p15.3d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q11.21a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q11.21b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q11.21c" 1 0 0 0 0 0 2 1 0 0 0 0 0 0
"ERV316A3_10q11.22a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q11.22b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q11.23a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q11.23b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q11.23c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q21.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q21.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q21.1c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q21.1d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q21.1f" 0 0 1 0 0 1 3 3 1 3 2 3 2 0
"ERV316A3_10q21.1g" 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"ERV316A3_10q21.1h" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q21.2a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q21.2b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q21.3" 0 0 1 0 0 0 1 1 0 0 3 0 0 0
"ERV316A3_10q22.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q22.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q22.3a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q22.3b" 0 0 1 0 0 0 0 1 0 0 0 0 0 0
"ERV316A3_10q22.3c" 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ERV316A3_10q22.3d" 0 0 0 0 0 0 0 0 0 0 4 6 0 6
"ERV316A3_10q23.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q23.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_10q23.2a" 0 0 0 0 0 0 5 0 0 0 0 0 2 0
"ERV316A3_10q23.2b" 0 0 0 0 0 0 0 15 0 0 0 0 0 0
"ERV316A3_10q23.31a" 0 0 0 0 0 0 1 2 0 0 1 0 0 0
