Calu3_mock3	Calu3_mock2	Calu3_mock1	Calu3_SARSCoV2_3	Calu3_SARSCoV2_2	Calu3_SARSCoV2_1
ERV316A3_10p15.1a	0	0	0	0	0	0
ERV316A3_10q22.3d	0	0	0	0	0	0
ERV316A3_10q23.2a	0	0	0	0	0	0
ERV316A3_10q23.2b	0	0	0	0	0	0
ERV316A3_11p15.3	0	0	0	0	0	0
ERV316A3_11q23.1d	3	0	0	0	0	1
ERV316A3_11q23.3f	0	0	0	0	0	0
ERV316A3_12p11.22a	0	0	4	0	0	0
ERV316A3_12p12.3c	2	1	2	3	1	0
ERV316A3_12p13.33	0	1	1	0	0	1
ERV316A3_12q21.32c	0	0	0	0	0	0
ERV316A3_12q24.13	1	3	8	43	16	39
ERV316A3_13q14.13	0	0	0	0	0	2
ERV316A3_13q32.1a	0	0	1	0	0	2
ERV316A3_14q11.2g	0	0	0	0	0	0
ERV316A3_14q13.1b	0	0	0	0	0	0
ERV316A3_14q22.3b	0	0	0	0	0	0
ERV316A3_14q24.2e	0	0	0	1	0	1
ERV316A3_14q24.2f	0	0	0	0	0	0
ERV316A3_15q21.2a	0	1	3	2	0	6
ERV316A3_15q21.3c	0	0	0	0	0	0
ERV316A3_15q24.1b	0	3	6	4	2	1
ERV316A3_16q12.1b	0	0	0	0	0	0
ERV316A3_17q24.3a	0	0	0	1	0	0
ERV316A3_18q21.1a	0	0	0	0	0	0
ERV316A3_18q21.1b	0	0	2	1	0	0
ERV316A3_18q22.3e	0	1	13	5	2	5
ERV316A3_19q13.31	1	1	4	3	1	3
ERV316A3_1p22.3c	0	0	0	0	0	0
ERV316A3_1p32.1a	0	0	3	1	0	1
ERV316A3_1p32.2f	1	0	0	0	0	0
ERV316A3_1p32.3b	30	61	129	75	65	66
ERV316A3_1q21.3b	0	0	0	0	0	0
ERV316A3_1q24.2b	0	0	0	3	1	1
ERV316A3_1q24.3a	0	0	1	0	0	0
ERV316A3_1q25.3b	0	0	0	1	0	0
ERV316A3_1q32.3c	0	0	0	0	0	0
ERV316A3_1q42.12b	1	5	2	0	0	0
ERV316A3_20p11.21	0	2	1	0	0	0
ERV316A3_20p12.1a	0	0	0	0	0	0
ERV316A3_20q13.33b	2	6	29	5	0	8
ERV316A3_21q22.11b	1	8	22	44	17	50
ERV316A3_21q22.3a	0	2	3	0	0	2
ERV316A3_21q22.3e	2	2	35	18	5	4
ERV316A3_22q13.31b	0	0	0	0	0	0
ERV316A3_22q13.33b	0	0	0	0	0	0
ERV316A3_2p16.1a	4	2	6	4	2	7
ERV316A3_2p16.2	0	0	0	0	2	1
ERV316A3_2p24.3b	0	0	0	0	0	0
ERV316A3_2q14.1e	0	0	0	0	0	1
ERV316A3_2q24.2a	0	0	0	0	0	0
ERV316A3_2q31.2	0	1	0	0	0	1
ERV316A3_2q34e	0	0	0	0	0	0
ERV316A3_2q34f	0	0	0	0	0	0
ERV316A3_2q35e	0	0	4	2	0	1
ERV316A3_2q35f	3	3	15	8	2	2
ERV316A3_2q37.1a	26	24	92	253	113	198
ERV316A3_3p21.31d	0	0	0	0	0	2
ERV316A3_3p25.2a	4	0	6	1	4	1
ERV316A3_3q13.12c	0	1	6	1	0	2
ERV316A3_3q13.31b	0	0	0	0	0	0
ERV316A3_3q27.3c	0	0	0	0	0	0
ERV316A3_4p15.32b	3	10	41	17	5	15
ERV316A3_4p16.3b	0	0	0	0	0	0
ERV316A3_4q21.1a	0	0	0	1	1	0
ERV316A3_4q31.1b	0	0	0	0	0	0
ERV316A3_4q31.21a	0	0	2	0	0	0
ERV316A3_4q31.23c	0	0	4	1	2	2
ERV316A3_4q35.2b	0	0	0	0	0	0
ERV316A3_5p13.3e	0	0	1	5	0	1
ERV316A3_5q11.2k	0	0	0	0	0	0
ERV316A3_5q12.1b	0	0	0	0	0	1
ERV316A3_5q14.1	0	2	6	3	0	5
ERV316A3_5q14.3a	0	0	0	0	0	0
ERV316A3_5q15c	0	0	0	0	0	0
ERV316A3_5q35.2b	0	0	0	0	0	0
ERV316A3_5q35.3a	0	0	0	0	0	5
ERV316A3_5q35.3d	0	1	1	2	0	1
ERV316A3_6p21.33b	0	3	3	0	0	2
ERV316A3_6p21.33c	105	144	498	641	262	640
ERV316A3_6p22.1b	0	0	0	0	4	0
ERV316A3_6p22.1i	0	9	5	42	24	46
ERV316A3_6p22.1n	7	12	20	16	11	20
ERV316A3_6p22.1o	2	3	11	6	9	12
ERV316A3_6p24.3e	0	0	2	1	0	1
ERV316A3_6p25.1b	0	0	3	1	0	3
ERV316A3_6p25.1c	0	0	0	0	0	0
ERV316A3_6p25.2a	0	0	0	0	0	0
ERV316A3_6q13b	2	4	3	2	0	2
ERV316A3_6q24.1a	33	51	155	90	50	88
ERV316A3_6q24.2a	0	0	0	0	0	0
ERV316A3_6q25.1b	0	0	0	0	0	0
ERV316A3_6q25.1c	0	0	0	2	0	2
ERV316A3_6q25.1d	1	0	0	0	0	0
ERV316A3_6q25.1e	0	0	0	0	0	0
ERV316A3_7p13a	0	0	6	1	0	2
ERV316A3_7p14.1a	0	0	0	0	0	0
ERV316A3_7q36.1a	0	0	0	0	0	0
ERV316A3_7q36.2c	0	0	0	0	0	0
ERV316A3_8q13.1b	0	0	0	0	0	0
ERV316A3_8q13.3a	0	0	0	0	0	0
ERV316A3_8q21.11e	0	0	0	0	0	0
ERV316A3_8q24.12b	1	1	11	27	17	22
ERV316A3_8q24.3k	3	2	2	4	0	4
ERV316A3_Xp11.3c	2	4	2	4	1	1
ERV316A3_Xq23b	0	0	0	0	0	0
ERV316A3_Xq26.1	7	15	29	15	9	16
ERV316A3_Xq26.3a	0	0	2	0	0	1
ERV316A3_Xq28b	0	0	11	2	1	4
ERVL_12q22a	0	0	0	1	0	1
ERVL_12q22b	0	0	0	0	0	0
ERVL_14q22.1	0	0	0	0	0	0
ERVL_1p34.2	0	0	0	0	0	0
ERVL_1p36.22a	0	0	0	2	0	0
ERVL_1q44a	0	0	5	1	5	1
ERVL_1q44b	0	4	2	2	4	4
ERVL_1q44c	0	0	0	0	0	0
ERVL_2q14.1	0	0	2	0	2	0
ERVL_2q24.1a	0	0	0	0	0	0
ERVL_5q11.2	0	0	0	0	0	0
ERVL_7p12.1a	1	4	19	7	1	9
ERVL_Xp11.22a	0	8	25	4	4	4
ERVLB4_1_KI270712v1_random	0	0	0	0	0	0
