SRR1942929	SRR1942934	SRR1942956	SRR1942957	SRR1942960	SRR1942961	SRR1942989	SRR1942990
ERV316A3_10p11.22d	0	0	0	0	1	0	0	0
ERV316A3_10q22.3d	0	0	0	0	4	6	0	6
ERV316A3_10q23.2a	5	0	0	0	0	0	2	0
ERV316A3_10q23.2b	0	15	0	0	0	0	0	0
ERV316A3_11q12.3	2	3	2	2	4	2	2	1
ERV316A3_11q13.1a	0	0	0	0	2	0	0	0
ERV316A3_11q13.3	3	7	2	4	5	5	0	3
ERV316A3_11q14.3a	2	1	0	0	1	1	0	0
ERV316A3_12p11.22a	5	8	4	0	1	2	3	0
ERV316A3_12p11.23b	4	0	2	0	2	0	0	0
ERV316A3_12p12.3b	0	0	0	0	2	1	4	0
ERV316A3_12p12.3c	7	7	4	2	6	7	3	7
ERV316A3_12p12.3d	4	4	1	1	2	3	0	0
ERV316A3_12p13.33	5	6	1	3	10	3	0	1
ERV316A3_12q21.1	2	4	1	0	3	5	1	1
ERV316A3_12q24.11	0	0	0	0	1	0	0	0
ERV316A3_13q12.13c	0	0	0	0	0	1	1	0
ERV316A3_13q14.3a	0	1	0	1	0	0	0	0
ERV316A3_13q32.1b	0	4	4	3	0	3	3	4
ERV316A3_13q32.1c	5	3	3	1	1	0	2	3
ERV316A3_13q32.3	1	4	1	0	3	2	0	0
ERV316A3_14q21.1b	1	4	1	0	4	1	2	0
ERV316A3_14q23.1e	1	0	0	0	0	0	0	0
ERV316A3_15q14a	2	3	1	2	2	0	0	1
ERV316A3_15q21.1e	0	0	0	0	0	0	0	0
ERV316A3_15q21.2a	6	6	3	3	4	6	4	3
ERV316A3_15q24.1a	3	2	2	1	3	1	3	1
ERV316A3_15q24.1b	19	13	5	6	12	8	9	6
ERV316A3_15q24.2	0	0	0	0	0	0	0	0
ERV316A3_15q25.1b	5	3	2	1	8	1	1	1
ERV316A3_16p12.1	5	1	1	2	0	1	2	0
ERV316A3_16q22.2	4	1	3	2	1	5	1	1
ERV316A3_16q23.1a	1	1	0	0	0	0	9	3
ERV316A3_17p11.2a	0	0	0	0	0	0	0	0
ERV316A3_17q21.33c	0	0	0	0	0	0	0	0
ERV316A3_18q11.2a	3	3	1	0	0	2	0	1
ERV316A3_18q11.2c	5	16	5	4	6	8	3	2
ERV316A3_18q21.1b	2	3	2	6	3	9	4	1
ERV316A3_18q21.31	1	8	4	1	3	7	4	5
ERV316A3_18q22.3e	29	62	13	20	40	15	16	20
ERV316A3_19q13.31	3	5	5	9	5	2	0	4
ERV316A3_1p31.3i	0	0	0	0	0	0	1	0
ERV316A3_1p32.1a	2	4	0	0	5	3	10	13
ERV316A3_1p32.2f	1	0	0	0	0	2	0	0
ERV316A3_1p32.3a	0	1	0	1	0	0	1	3
ERV316A3_1p32.3b	82	101	29	38	45	48	8	9
ERV316A3_1p34.2a	1	4	2	0	3	0	3	3
ERV316A3_1q32.3a	2	4	1	0	0	0	1	2
ERV316A3_1q32.3b	0	0	0	0	0	0	1	0
ERV316A3_1q44b	0	0	0	0	0	1	0	0
ERV316A3_20q13.33b	46	48	46	58	39	31	23	20
ERV316A3_21q22.11b	28	33	22	56	34	31	7	7
